WKT,gid,lon,lat
"POLYGON ((103.727842 1.44384,103.729342 1.44384,103.730092 1.442541,103.729342 1.441242,103.727842 1.441242,103.727092 1.442541,103.727842 1.44384))",2130055,103.728592000000010,1.442533000000000
"POLYGON ((103.732342 1.44384,103.733842 1.44384,103.734592 1.442541,103.733842 1.441242,103.732342 1.441242,103.731592 1.442541,103.732342 1.44384))",2130057,103.733092000000000,1.442533000000000
"POLYGON ((103.736842 1.44384,103.738342 1.44384,103.739092 1.442541,103.738342 1.441242,103.736842 1.441242,103.736092 1.442541,103.736842 1.44384))",2130059,103.737592000000010,1.442533000000000
"POLYGON ((103.741342 1.44384,103.742842 1.44384,103.743592 1.442541,103.742842 1.441242,103.741342 1.441242,103.740592 1.442541,103.741342 1.44384))",2130061,103.742092000000000,1.442533000000000
"POLYGON ((103.745842 1.44384,103.747342 1.44384,103.748092 1.442541,103.747342 1.441242,103.745842 1.441242,103.745092 1.442541,103.745842 1.44384))",2130063,103.746592000000010,1.442533000000000
"POLYGON ((103.750342 1.44384,103.751842 1.44384,103.752592 1.442541,103.751842 1.441242,103.750342 1.441242,103.749592 1.442541,103.750342 1.44384))",2130065,103.751092000000000,1.442533000000000
"POLYGON ((103.754842 1.44384,103.756342 1.44384,103.757092 1.442541,103.756342 1.441242,103.754842 1.441242,103.754092 1.442541,103.754842 1.44384))",2130067,103.755591999999990,1.442533000000000
"POLYGON ((103.759342 1.44384,103.760842 1.44384,103.761592 1.442541,103.760842 1.441242,103.759342 1.441242,103.758592 1.442541,103.759342 1.44384))",2130069,103.760092000000000,1.442533000000000
"POLYGON ((103.763842 1.44384,103.765342 1.44384,103.766092 1.442541,103.765342 1.441242,103.763842 1.441242,103.763092 1.442541,103.763842 1.44384))",2130071,103.764591999999990,1.442533000000000
"POLYGON ((103.768342 1.44384,103.769842 1.44384,103.770592 1.442541,103.769842 1.441242,103.768342 1.441242,103.767592 1.442541,103.768342 1.44384))",2130073,103.769092000000000,1.442533000000000
"POLYGON ((103.772842 1.44384,103.774342 1.44384,103.775092 1.442541,103.774342 1.441242,103.772842 1.441242,103.772092 1.442541,103.772842 1.44384))",2130075,103.773591999999990,1.442533000000000
"POLYGON ((103.777342 1.44384,103.778842 1.44384,103.779592 1.442541,103.778842 1.441242,103.777342 1.441242,103.776592 1.442541,103.777342 1.44384))",2130077,103.778092000000000,1.442533000000000
"POLYGON ((103.781842 1.44384,103.783342 1.44384,103.784092 1.442541,103.783342 1.441242,103.781842 1.441242,103.781092 1.442541,103.781842 1.44384))",2130079,103.782591999999990,1.442533000000000
"POLYGON ((103.786342 1.44384,103.787842 1.44384,103.788592 1.442541,103.787842 1.441242,103.786342 1.441242,103.785592 1.442541,103.786342 1.44384))",2130081,103.787092000000000,1.442533000000000
"POLYGON ((103.790842 1.44384,103.792342 1.44384,103.793092 1.442541,103.792342 1.441242,103.790842 1.441242,103.790092 1.442541,103.790842 1.44384))",2130083,103.791591999999990,1.442533000000000
"POLYGON ((103.795342 1.44384,103.796842 1.44384,103.797592 1.442541,103.796842 1.441242,103.795342 1.441242,103.794592 1.442541,103.795342 1.44384))",2130085,103.796092000000000,1.442533000000000
"POLYGON ((103.799842 1.44384,103.801342 1.44384,103.802092 1.442541,103.801342 1.441242,103.799842 1.441242,103.799092 1.442541,103.799842 1.44384))",2130087,103.800591999999990,1.442533000000000
"POLYGON ((103.804342 1.44384,103.805842 1.44384,103.806592 1.442541,103.805842 1.441242,103.804342 1.441242,103.803592 1.442541,103.804342 1.44384))",2130089,103.805092000000000,1.442533000000000
"POLYGON ((103.808842 1.44384,103.810342 1.44384,103.811092 1.442541,103.810342 1.441242,103.808842 1.441242,103.808092 1.442541,103.808842 1.44384))",2130091,103.809591999999990,1.442533000000000
"POLYGON ((103.813342 1.44384,103.814842 1.44384,103.815592 1.442541,103.814842 1.441242,103.813342 1.441242,103.812592 1.442541,103.813342 1.44384))",2130093,103.814092000000000,1.442533000000000
"POLYGON ((103.817842 1.44384,103.819342 1.44384,103.820092 1.442541,103.819342 1.441242,103.817842 1.441242,103.817092 1.442541,103.817842 1.44384))",2130095,103.818592000000000,1.442533000000000
"POLYGON ((103.606342 1.243788,103.607842 1.243788,103.608592 1.242489,103.607842 1.24119,103.606342 1.24119,103.605592 1.242489,103.606342 1.243788))",590001,103.607091999999990,1.242487000000000
